date,open,high,low,close,volume,average,barCount,tradeDate
2024-01-03 11:55:00-05:00,399.05,399.12,398.74,398.84,364526.0,398.938,1705,2024-01-03
2024-01-03 12:00:00-05:00,398.85,399.06,398.66,399.05,299440.0,398.858,1696,2024-01-03
2024-01-03 12:05:00-05:00,399.04,399.19,398.71,398.77,246733.0,399.015,1305,2024-01-03
2024-01-03 12:10:00-05:00,398.76,398.85,398.59,398.7,272525.0,398.723,1667,2024-01-03
2024-01-03 12:15:00-05:00,398.71,398.85,398.53,398.56,224211.0,398.677,1271,2024-01-03
2024-01-03 12:20:00-05:00,398.56,398.83,398.55,398.8,173139.0,398.645,903,2024-01-03
2024-01-03 12:25:00-05:00,398.8,399.27,398.74,399.26,445132.0,399.046,2640,2024-01-03
2024-01-03 12:30:00-05:00,399.25,399.38,399.09,399.26,350116.0,399.266,2158,2024-01-03
2024-01-03 12:35:00-05:00,399.27,399.45,399.21,399.29,187712.0,399.323,1079,2024-01-03
2024-01-03 12:40:00-05:00,399.29,399.48,399.13,399.25,179228.0,399.336,1035,2024-01-03
2024-01-03 12:45:00-05:00,399.26,399.39,399.21,399.34,129510.0,399.313,881,2024-01-03
2024-01-03 12:50:00-05:00,399.34,399.41,399.26,399.33,116557.0,399.333,670,2024-01-03
2024-01-03 12:55:00-05:00,399.34,399.87,399.32,399.76,328559.0,399.675,1993,2024-01-03
2024-01-03 13:00:00-05:00,399.75,400.22,399.67,399.83,538869.0,399.904,3011,2024-01-03
2024-01-03 13:05:00-05:00,399.82,399.88,399.63,399.71,168601.0,399.771,866,2024-01-03
2024-01-03 13:10:00-05:00,399.71,399.93,399.63,399.71,193547.0,399.776,944,2024-01-03
2024-01-03 13:15:00-05:00,399.71,399.82,399.61,399.66,149026.0,399.714,855,2024-01-03
2024-01-03 13:20:00-05:00,399.66,399.66,399.42,399.46,212012.0,399.502,1133,2024-01-03
2024-01-03 13:25:00-05:00,399.46,399.66,399.38,399.49,159848.0,399.491,831,2024-01-03
2024-01-03 13:30:00-05:00,399.48,399.57,399.26,399.26,169163.0,399.4,979,2024-01-03
2024-01-03 13:35:00-05:00,399.28,399.5,399.05,399.47,213532.0,399.265,1182,2024-01-03
2024-01-03 13:40:00-05:00,399.48,399.49,399.2,399.24,192757.0,399.37,1115,2024-01-03
2024-01-03 13:45:00-05:00,399.24,399.46,399.21,399.32,153898.0,399.317,929,2024-01-03
2024-01-03 13:50:00-05:00,399.3,399.57,399.2,399.22,168176.0,399.395,961,2024-01-03
2024-01-03 13:55:00-05:00,399.21,399.4,399.17,399.38,162264.0,399.277,901,2024-01-03
2024-01-03 14:00:00-05:00,399.37,399.82,398.63,398.64,786090.0,399.171,4076,2024-01-03
2024-01-03 14:05:00-05:00,398.63,399.31,398.08,399.13,889503.0,398.752,4706,2024-01-03
2024-01-03 14:10:00-05:00,399.15,399.54,398.56,398.74,395907.0,399.037,2063,2024-01-03
2024-01-03 14:15:00-05:00,398.75,399.21,398.37,399.05,341500.0,398.784,1761,2024-01-03
2024-01-03 14:20:00-05:00,399.03,399.19,398.68,399.15,382711.0,398.966,2236,2024-01-03
2024-01-03 14:25:00-05:00,399.15,400.44,399.07,400.18,846456.0,399.966,5495,2024-01-03
2024-01-03 14:30:00-05:00,400.2,400.43,399.69,399.98,707342.0,400.054,4362,2024-01-03
2024-01-03 14:35:00-05:00,399.98,400.01,399.52,399.85,285183.0,399.768,1819,2024-01-03
2024-01-03 14:40:00-05:00,399.84,400.42,399.61,400.29,396815.0,400.032,2134,2024-01-03
2024-01-03 14:45:00-05:00,400.29,400.39,399.76,399.79,288712.0,400.078,1714,2024-01-03
2024-01-03 14:50:00-05:00,399.78,399.9,399.59,399.74,253305.0,399.738,1251,2024-01-03
2024-01-03 14:55:00-05:00,399.73,399.84,399.49,399.53,224172.0,399.643,1264,2024-01-03
2024-01-03 15:00:00-05:00,399.53,399.68,399.14,399.25,368838.0,399.369,2153,2024-01-03
2024-01-03 15:05:00-05:00,399.25,399.28,398.68,398.92,368710.0,398.946,1906,2024-01-03
2024-01-03 15:10:00-05:00,398.87,399.09,398.72,398.89,255473.0,398.917,1474,2024-01-03
2024-01-03 15:15:00-05:00,398.91,398.91,398.57,398.71,241035.0,398.75,1345,2024-01-03
2024-01-03 15:20:00-05:00,398.72,398.99,398.52,398.59,287451.0,398.777,1488,2024-01-03
2024-01-03 15:25:00-05:00,398.6,398.78,398.47,398.78,318251.0,398.561,1899,2024-01-03
2024-01-03 15:30:00-05:00,398.78,399.28,398.71,399.18,326471.0,399.043,2085,2024-01-03
2024-01-03 15:35:00-05:00,399.18,399.26,398.82,399.04,326915.0,399.052,2070,2024-01-03
2024-01-03 15:40:00-05:00,399.05,399.17,398.46,398.47,297209.0,398.811,1939,2024-01-03
2024-01-03 15:45:00-05:00,398.48,398.72,398.38,398.46,497863.0,398.536,3049,2024-01-03
2024-01-03 15:50:00-05:00,398.45,398.52,397.89,398.01,1508637.0,398.142,8250,2024-01-03
2024-01-03 15:55:00-05:00,398.01,398.58,398.01,398.34,1375666.0,398.355,7285,2024-01-03
2024-01-04 09:30:00-05:00,396.45,397.29,396.19,397.09,1327045.0,396.756,6699,2024-01-04
2024-01-04 09:35:00-05:00,397.09,397.56,396.89,397.18,803186.0,397.21,5050,2024-01-04
2024-01-04 09:40:00-05:00,397.18,397.29,396.67,396.99,520894.0,396.928,2963,2024-01-04
2024-01-04 09:45:00-05:00,396.97,397.22,396.38,396.56,565499.0,396.766,3849,2024-01-04
2024-01-04 09:50:00-05:00,396.58,397.33,396.53,397.23,570827.0,397.033,3417,2024-01-04
2024-01-04 09:55:00-05:00,397.24,397.39,396.41,396.61,549473.0,396.848,3058,2024-01-04
2024-01-04 10:00:00-05:00,396.6,397.49,396.26,397.45,1579398.0,396.884,4891,2024-01-04
2024-01-04 10:05:00-05:00,397.46,397.91,397.23,397.89,643049.0,397.613,3600,2024-01-04
2024-01-04 10:10:00-05:00,397.91,398.12,397.54,398.12,780831.0,397.833,5096,2024-01-04
